full_name,monetary,avgmonetary,frequency,last_order_date,max_order_date,recency,rfm_recency,rfm_frequency,rfm_monetary,rfm_cell,rfm_cell_string,rfm_segment
Abyasa Ardianto,330273,330273.0,1,2022-03-05 05:36:15.071199+00:00,2022-07-31 23:59:19.821469+00:00,148,2,1,1,4,112,hibernating
Abyasa Firgantoro,8115383,477375.0,17,2022-04-19 02:33:50.312201+00:00,2022-07-31 23:59:19.821469+00:00,103,2,3,3,8,332,about to sleep
Abyasa Firmansyah,1229803,307451.0,4,2021-07-09 04:17:01.226573+00:00,2022-07-31 23:59:19.821469+00:00,387,1,2,1,4,121,hibernating
Abyasa Hardiansyah,250015,250015.0,1,2019-10-20 15:37:31.141793+00:00,2022-07-31 23:59:19.821469+00:00,1015,1,1,1,3,111,hibernating
Abyasa Haryanto,2302516,383753.0,6,2022-07-07 18:58:37.055319+00:00,2022-07-31 23:59:19.821469+00:00,24,4,2,2,8,224,at risk
Abyasa Hutagalung,82360011,935909.0,88,2022-07-16 04:21:06.253772+00:00,2022-07-31 23:59:19.821469+00:00,15,5,5,5,15,555,champions
Abyasa Iswahyudi,18424748,837489.0,22,2022-01-02 00:37:01.327910+00:00,2022-07-31 23:59:19.821469+00:00,210,2,3,3,8,332,about to sleep
Abyasa Kurniawan,20675066,1879551.0,11,2022-07-27 03:22:38.734379+00:00,2022-07-31 23:59:19.821469+00:00,4,5,2,3,10,325,need attention
Abyasa Latupono,11064957,395177.0,28,2022-05-03 06:52:51.230270+00:00,2022-07-31 23:59:19.821469+00:00,89,3,3,3,9,333,need attention
Abyasa Manullang,4055731,506966.0,8,2022-03-15 04:43:02.381389+00:00,2022-07-31 23:59:19.821469+00:00,138,2,2,2,6,222,hibernating
Abyasa Maulana,19720191,616256.0,32,2022-07-11 05:31:37.605540+00:00,2022-07-31 23:59:19.821469+00:00,20,4,4,3,11,344,loyal
Abyasa Megantara,27370109,882907.0,31,2022-07-18 17:27:31.423160+00:00,2022-07-31 23:59:19.821469+00:00,13,5,4,4,13,445,loyal
Abyasa Nababan,2142455,714152.0,3,2020-08-25 19:12:44.946106+00:00,2022-07-31 23:59:19.821469+00:00,705,1,1,2,4,211,hibernating
Abyasa Nainggolan,14526222,691725.0,21,2022-06-11 11:24:29.785053+00:00,2022-07-31 23:59:19.821469+00:00,50,3,3,3,9,333,need attention
Abyasa Pangestu,3063681,1021227.0,3,2022-02-05 02:30:48.082746+00:00,2022-07-31 23:59:19.821469+00:00,176,2,1,2,5,212,hibernating
Abyasa Pranowo,81017912,658682.0,123,2022-06-14 08:09:07.013660+00:00,2022-07-31 23:59:19.821469+00:00,47,3,5,5,13,553,potential loyalist
Abyasa Rajasa,64743117,4624508.0,14,2021-04-20 16:58:32.302593+00:00,2022-07-31 23:59:19.821469+00:00,467,1,3,4,8,431,promising
Abyasa Rajata,14506863,1208905.0,12,2021-12-30 21:23:47.292034+00:00,2022-07-31 23:59:19.821469+00:00,213,2,2,3,7,322,about to sleep
Abyasa Samosir,858254,429127.0,2,2022-05-29 21:05:40.055486+00:00,2022-07-31 23:59:19.821469+00:00,63,3,1,1,5,113,hibernating
Abyasa Saptono,786184,262061.0,3,2021-01-29 16:49:07.565400+00:00,2022-07-31 23:59:19.821469+00:00,548,1,1,1,3,111,hibernating
Abyasa Saragih,10464624,498315.0,21,2022-07-04 03:45:42.062245+00:00,2022-07-31 23:59:19.821469+00:00,27,4,3,3,10,334,need attention
Abyasa Sihombing,12941936,1437993.0,9,2021-07-25 21:55:33.616423+00:00,2022-07-31 23:59:19.821469+00:00,371,1,2,3,6,321,about to sleep
Abyasa Sihotang,31183682,742469.0,42,2022-05-15 03:28:16.922067+00:00,2022-07-31 23:59:19.821469+00:00,77,3,4,4,11,443,potential loyalist
Abyasa Simbolon,150677326,846502.0,178,2022-06-17 03:43:23.430314+00:00,2022-07-31 23:59:19.821469+00:00,44,4,5,5,14,554,champions
Abyasa Sirait,12557913,570814.0,22,2022-07-03 23:49:03.563263+00:00,2022-07-31 23:59:19.821469+00:00,28,4,3,3,10,334,need attention
Abyasa Siregar,4642567,663224.0,7,2022-03-25 05:58:39.839377+00:00,2022-07-31 23:59:19.821469+00:00,128,2,2,2,6,222,hibernating
Abyasa Situmorang,364751,182376.0,2,2021-11-29 14:48:50.662012+00:00,2022-07-31 23:59:19.821469+00:00,244,2,1,1,4,112,hibernating
Abyasa Tampubolon,9932543,993254.0,10,2021-07-11 19:39:51.747601+00:00,2022-07-31 23:59:19.821469+00:00,385,1,2,3,6,321,about to sleep
Abyasa Wacana,14896710,496557.0,30,2022-06-17 00:21:40.195153+00:00,2022-07-31 23:59:19.821469+00:00,44,4,4,3,11,344,loyal
Abyasa Waluyo,2710947,387278.0,7,2021-06-24 07:19:24.273814+00:00,2022-07-31 23:59:19.821469+00:00,402,1,2,2,5,221,hibernating
Abyasa Zulkarnain,2519201,359886.0,7,2021-12-15 12:14:09.313072+00:00,2022-07-31 23:59:19.821469+00:00,228,2,2,2,6,222,hibernating
Ade Adriansyah,556980,278490.0,2,2021-11-24 22:52:10.188573+00:00,2022-07-31 23:59:19.821469+00:00,249,2,1,1,4,112,hibernating
Ade Agustina,5124683,320293.0,16,2022-04-02 21:25:31.504438+00:00,2022-07-31 23:59:19.821469+00:00,120,2,3,2,7,232,hibernating
Ade Andriani,54110936,949315.0,57,2022-06-22 17:56:12.102942+00:00,2022-07-31 23:59:19.821469+00:00,39,4,4,4,12,444,loyal
Ade Anggraini,176682946,1563566.0,113,2022-07-05 22:45:43.131801+00:00,2022-07-31 23:59:19.821469+00:00,26,4,5,5,14,554,champions
Ade Anggriawan,1008797,336266.0,3,2021-03-09 06:52:10.663046+00:00,2022-07-31 23:59:19.821469+00:00,509,1,1,1,3,111,hibernating
Ade Aryani,413548,413548.0,1,2020-08-01 16:51:18.738683+00:00,2022-07-31 23:59:19.821469+00:00,729,1,1,1,3,111,hibernating
Ade Budiman,53499365,1114570.0,48,2022-07-05 02:00:33.301406+00:00,2022-07-31 23:59:19.821469+00:00,26,4,4,4,12,444,loyal
Ade Dabukke,106920406,3341263.0,32,2022-05-22 02:58:59.576587+00:00,2022-07-31 23:59:19.821469+00:00,70,3,4,5,12,543,potential loyalist
Ade Dongoran,8453529,563569.0,15,2022-07-04 00:35:03.154961+00:00,2022-07-31 23:59:19.821469+00:00,27,4,3,3,10,334,need attention
Ade Farida,7133662,1019095.0,7,2022-07-14 09:40:45.510465+00:00,2022-07-31 23:59:19.821469+00:00,17,5,2,2,9,225,at risk
Ade Fujiati,3128338,446905.0,7,2022-06-02 21:45:04.027075+00:00,2022-07-31 23:59:19.821469+00:00,59,3,2,2,7,223,at risk
Ade Hakim,114298763,1523984.0,75,2022-07-29 04:27:40.171835+00:00,2022-07-31 23:59:19.821469+00:00,2,5,5,5,15,555,champions
Ade Halim,246648,246648.0,1,2019-10-13 18:07:57.042983+00:00,2022-07-31 23:59:19.821469+00:00,1022,1,1,1,3,111,hibernating
Ade Halimah,364391011,3196412.0,114,2022-07-12 11:39:44.820443+00:00,2022-07-31 23:59:19.821469+00:00,19,5,5,5,15,555,champions
Ade Handayani,252221,252221.0,1,2018-12-01 17:31:24.440327+00:00,2022-07-31 23:59:19.821469+00:00,1338,1,1,1,3,111,hibernating
Ade Hardiansyah,137375641,1205049.0,114,2022-06-14 09:41:06.440243+00:00,2022-07-31 23:59:19.821469+00:00,47,3,5,5,13,553,potential loyalist
Ade Hariyah,150356836,849474.0,177,2022-07-27 04:30:51.008924+00:00,2022-07-31 23:59:19.821469+00:00,4,5,5,5,15,555,champions
Ade Hartati,2856182,238015.0,12,2022-05-29 14:06:15.444127+00:00,2022-07-31 23:59:19.821469+00:00,63,3,2,2,7,223,at risk
Ade Haryanti,4057948,811590.0,5,2022-04-21 14:35:49.490686+00:00,2022-07-31 23:59:19.821469+00:00,101,2,2,2,6,222,hibernating
Ade Hasanah,522220,522220.0,1,2017-12-16 07:56:23.284417+00:00,2022-07-31 23:59:19.821469+00:00,1688,1,1,1,3,111,hibernating
Ade Hassanah,6505764,382692.0,17,2022-03-13 04:40:20.428496+00:00,2022-07-31 23:59:19.821469+00:00,140,2,3,2,7,232,hibernating
Ade Kusmawati,98880208,979012.0,101,2022-07-19 02:34:26.526001+00:00,2022-07-31 23:59:19.821469+00:00,12,5,5,5,15,555,champions
Ade Kuswandari,38527555,1203986.0,32,2022-04-11 09:22:01.421407+00:00,2022-07-31 23:59:19.821469+00:00,111,2,4,4,10,442,potential loyalist
Ade Lailasari,100874501,710384.0,142,2022-07-24 16:27:32.861724+00:00,2022-07-31 23:59:19.821469+00:00,7,5,5,5,15,555,champions
Ade Laksita,1402975,280595.0,5,2022-05-30 02:46:45.744220+00:00,2022-07-31 23:59:19.821469+00:00,62,3,2,1,6,123,hibernating
Ade Laksmiwati,27457850,409819.0,67,2022-07-14 19:13:01.873911+00:00,2022-07-31 23:59:19.821469+00:00,17,5,5,4,14,455,loyal
Ade Lestari,20410370,927744.0,22,2022-06-19 11:07:18.218625+00:00,2022-07-31 23:59:19.821469+00:00,42,4,3,3,10,334,need attention
Ade Mandasari,1433216,477739.0,3,2022-06-01 14:29:09.796973+00:00,2022-07-31 23:59:19.821469+00:00,60,3,1,2,6,213,hibernating
Ade Mangunsong,214213076,2001991.0,107,2022-07-08 11:19:43.951969+00:00,2022-07-31 23:59:19.821469+00:00,23,4,5,5,14,554,champions
Ade Mardhiyah,1535034,307007.0,5,2020-10-07 09:37:53.616368+00:00,2022-07-31 23:59:19.821469+00:00,662,1,2,2,5,221,hibernating
Ade Maryati,128420840,1323926.0,97,2022-06-15 02:03:09.944333+00:00,2022-07-31 23:59:19.821469+00:00,46,3,5,5,13,553,potential loyalist
Ade Mayasari,40884572,888795.0,46,2022-05-09 00:36:41.656733+00:00,2022-07-31 23:59:19.821469+00:00,83,3,4,4,11,443,potential loyalist
Ade Melani,2600742,371535.0,7,2022-05-02 10:44:06.352245+00:00,2022-07-31 23:59:19.821469+00:00,90,3,2,2,7,223,at risk
Ade Mustofa,37161762,1092993.0,34,2022-06-15 01:35:40.131443+00:00,2022-07-31 23:59:19.821469+00:00,46,3,4,4,11,443,potential loyalist
Ade Najmudin,35981602,734318.0,49,2022-07-03 17:00:28.764167+00:00,2022-07-31 23:59:19.821469+00:00,28,4,4,4,12,444,loyal
Ade Namaga,24923647,692324.0,36,2022-07-06 09:09:45.244696+00:00,2022-07-31 23:59:19.821469+00:00,25,4,4,3,11,344,loyal
Ade Nasyiah,32026742,681420.0,47,2022-07-28 10:32:55.679016+00:00,2022-07-31 23:59:19.821469+00:00,3,5,4,4,13,445,loyal
Ade Nasyidah,5814669,969112.0,6,2021-08-24 12:48:35.087503+00:00,2022-07-31 23:59:19.821469+00:00,341,1,2,2,5,221,hibernating
Ade Novitasari,41387186,537496.0,77,2022-07-28 00:48:03.726183+00:00,2022-07-31 23:59:19.821469+00:00,3,5,5,4,14,455,loyal
Ade Nugroho,401275111,1143234.0,351,2022-05-28 07:19:44.341593+00:00,2022-07-31 23:59:19.821469+00:00,64,3,5,5,13,553,potential loyalist
Ade Nuraini,60167564,1114214.0,54,2022-04-29 17:34:35.101978+00:00,2022-07-31 23:59:19.821469+00:00,93,3,4,4,11,443,potential loyalist
Ade Nurdiyanti,52819391,628802.0,84,2022-07-18 01:20:00.638282+00:00,2022-07-31 23:59:19.821469+00:00,13,5,5,4,14,455,loyal
Ade Oktaviani,32393647,1199765.0,27,2022-07-11 01:14:51.063110+00:00,2022-07-31 23:59:19.821469+00:00,20,4,3,4,11,434,potential loyalist
Ade Padmasari,282352,282352.0,1,2019-06-02 17:18:53.974347+00:00,2022-07-31 23:59:19.821469+00:00,1155,1,1,1,3,111,hibernating
Ade Palastri,887954,443977.0,2,2021-07-21 22:54:26.775369+00:00,2022-07-31 23:59:19.821469+00:00,375,1,1,1,3,111,hibernating
Ade Permadi,344459,172230.0,2,2021-08-02 06:37:51.234277+00:00,2022-07-31 23:59:19.821469+00:00,363,1,1,1,3,111,hibernating
Ade Permata,206321,206321.0,1,2021-07-24 16:30:02.675173+00:00,2022-07-31 23:59:19.821469+00:00,372,1,1,1,3,111,hibernating
Ade Pertiwi,27083013,588761.0,46,2022-07-12 00:25:13.593552+00:00,2022-07-31 23:59:19.821469+00:00,19,5,4,4,13,445,loyal
Ade Pradipta,7239689,723969.0,10,2021-12-25 13:03:00.082171+00:00,2022-07-31 23:59:19.821469+00:00,218,2,2,2,6,222,hibernating
Ade Prakasa,56497537,1027228.0,55,2022-07-15 01:10:15.862659+00:00,2022-07-31 23:59:19.821469+00:00,16,5,4,4,13,445,loyal
Ade Prastuti,13470314,841895.0,16,2022-07-31 13:54:15.479252+00:00,2022-07-31 23:59:19.821469+00:00,0,5,3,3,11,335,need attention
Ade Pudjiastuti,228982509,1168278.0,196,2022-05-29 03:38:29.514388+00:00,2022-07-31 23:59:19.821469+00:00,63,3,5,5,13,553,potential loyalist
Ade Purnawati,405767,405767.0,1,2021-08-01 22:45:23.376513+00:00,2022-07-31 23:59:19.821469+00:00,364,1,1,1,3,111,hibernating
Ade Purwanti,40394937,1091755.0,37,2022-06-28 02:58:23.625081+00:00,2022-07-31 23:59:19.821469+00:00,33,4,4,4,12,444,loyal
Ade Puspasari,11948273,853448.0,14,2022-03-08 23:55:53.829844+00:00,2022-07-31 23:59:19.821469+00:00,145,2,3,3,8,332,about to sleep
Ade Putra,3289764,411220.0,8,2022-02-14 05:24:45.145398+00:00,2022-07-31 23:59:19.821469+00:00,167,2,2,2,6,222,hibernating
Ade Rahayu,21526839,458018.0,47,2022-07-09 01:22:58.077673+00:00,2022-07-31 23:59:19.821469+00:00,22,4,4,3,11,344,loyal
Ade Rahimah,483736,483736.0,1,2022-07-02 01:09:51.985835+00:00,2022-07-31 23:59:19.821469+00:00,29,4,1,1,6,114,hibernating
Ade Rahmawati,85441498,1424025.0,60,2022-07-14 06:51:28.677097+00:00,2022-07-31 23:59:19.821469+00:00,17,5,4,5,14,545,champions
Ade Ramadan,3256958,814240.0,4,2021-06-02 01:42:04.168057+00:00,2022-07-31 23:59:19.821469+00:00,424,1,2,2,5,221,hibernating
Ade Riyanti,36368225,627038.0,58,2022-06-17 13:24:22.006139+00:00,2022-07-31 23:59:19.821469+00:00,44,4,4,4,12,444,loyal
Ade Saefullah,37101400,2473427.0,15,2022-07-23 02:20:15.227969+00:00,2022-07-31 23:59:19.821469+00:00,8,5,3,4,12,435,potential loyalist
Ade Safitri,128610036,579324.0,222,2022-07-26 19:07:14.511581+00:00,2022-07-31 23:59:19.821469+00:00,5,5,5,5,15,555,champions
Ade Santoso,373976,186988.0,2,2021-10-14 16:08:31.946289+00:00,2022-07-31 23:59:19.821469+00:00,290,1,1,1,3,111,hibernating
Ade Saptono,133291,133291.0,1,2021-07-31 11:31:01.010811+00:00,2022-07-31 23:59:19.821469+00:00,365,1,1,1,3,111,hibernating
Ade Setiawan,2299210,2299210.0,1,2021-09-25 15:12:26.233966+00:00,2022-07-31 23:59:19.821469+00:00,309,1,1,2,4,211,hibernating
Ade Sihombing,177842787,722938.0,246,2022-07-30 17:37:41.466686+00:00,2022-07-31 23:59:19.821469+00:00,1,5,5,5,15,555,champions
Ade Sihotang,2658208,295356.0,9,2022-02-11 20:22:29.116209+00:00,2022-07-31 23:59:19.821469+00:00,170,2,2,2,6,222,hibernating
Ade Simbolon,1037854,207571.0,5,2022-06-02 18:32:37.951215+00:00,2022-07-31 23:59:19.821469+00:00,59,3,2,1,6,123,hibernating
Ade Sitorus,456513,228256.0,2,2020-02-11 01:57:10.901769+00:00,2022-07-31 23:59:19.821469+00:00,901,1,1,1,3,111,hibernating
Ade Suartini,40370639,640804.0,63,2022-07-28 02:18:29.822688+00:00,2022-07-31 23:59:19.821469+00:00,3,5,4,4,13,445,loyal
Ade Sudiati,114416848,1040153.0,110,2022-06-23 03:06:22.100498+00:00,2022-07-31 23:59:19.821469+00:00,38,4,5,5,14,554,champions
Ade Suryatmi,21598596,1270506.0,17,2022-02-17 03:21:16.651602+00:00,2022-07-31 23:59:19.821469+00:00,164,2,3,3,8,332,about to sleep
Ade Suryono,4689844,2344922.0,2,2018-12-01 19:43:07.898143+00:00,2022-07-31 23:59:19.821469+00:00,1338,1,1,2,4,211,hibernating
Ade Tampubolon,3051625,339069.0,9,2022-07-02 23:27:41.245183+00:00,2022-07-31 23:59:19.821469+00:00,29,4,2,2,8,224,at risk
Ade Tarihoran,2695504,299500.0,9,2022-03-20 17:49:55.667771+00:00,2022-07-31 23:59:19.821469+00:00,133,2,2,2,6,222,hibernating
Ade Usada,255916122,1390848.0,184,2022-07-12 02:36:18.434233+00:00,2022-07-31 23:59:19.821469+00:00,19,5,5,5,15,555,champions
Ade Utama,1449867,724934.0,2,2021-06-07 23:57:35.320665+00:00,2022-07-31 23:59:19.821469+00:00,419,1,1,2,4,211,hibernating
Ade Utami,17831690,481938.0,37,2022-06-20 00:54:23.967212+00:00,2022-07-31 23:59:19.821469+00:00,41,4,4,3,11,344,loyal
Ade Uwais,12739134,670481.0,19,2022-04-15 01:44:30.445019+00:00,2022-07-31 23:59:19.821469+00:00,107,2,3,3,8,332,about to sleep
Ade Uyainah,43067540,1957615.0,22,2022-06-12 21:06:46.006312+00:00,2022-07-31 23:59:19.821469+00:00,49,3,3,4,10,433,potential loyalist
Ade Wahyuni,71718626,788117.0,91,2022-06-19 09:58:58.996068+00:00,2022-07-31 23:59:19.821469+00:00,42,4,5,4,13,454,loyal
